Citation,Year,Journal,Family,BinomialStudy,BinomialReptileDatabase,Sex,Age,SSM,SSBF,SC,BM,BM.SD,BM.SE,BM.MIN,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MIN,SVL.MAX,HL,HL.SD,HL.SE,HL.MIN,HL.MAX,HW,HW.SD,HW.SE,HW.MIN,HW.MAX,HH,HH.SD,HH.SE,HH.MIN,HH.MAX,BF,BF.SD,BF.SE,BF.MIN,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MIN,LJL.MAX,DataQuality,Notes
"Jones, et al., 2020",2020,J Exp Zool A,Agamidae,Pogona vitticeps,Pogona vitticeps,F,A,11,11,Leather,236.38,NA,23.1,NA,NA,184.64,NA,6.09,NA,NA,42.23,NA,1.31,NA,NA,37.89,NA,1.38,NA,NA,24.62,NA,1.11,NA,NA,52.66,NA,5.98,NA,NA,52.2,NA,1.74,NA,NA,Good,NA
"Verwaijen & Van Damme, 2007",2007,J Evol Biol,Lacertidae,Acanthodactylus aureus,Acanthodactylus aureus,M,A,3,3,NA,NA,NA,NA,NA,NA,72.35,NA,NA,NA,NA,18.73,NA,NA,NA,NA,11.17,NA,NA,NA,NA,9.16,NA,NA,NA,NA,5.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,"All individuals with BFdata were males. SC is not listed in text, lizards ""bit on to two plates"". Raw data has average and sample size but no SD or SE is provided. Bad data = no SD or SE is provided. only use for MAX BF analysis"
"Verwaijen & Van Damme, 2007",2007,J Evol Biol,Lacertidae,Acanthodactylus erythrurus,Acanthodactylus erythrurus,M,A,7,7,NA,NA,NA,NA,NA,NA,72.5,NA,NA,NA,NA,17.75,NA,NA,NA,NA,11.65,NA,NA,NA,NA,9.27,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Verwaijen & Van Damme, 2007",2007,J Evol Biol,Lacertidae,Lacerta monticola,Iberolacerta monticola,M,A,6,6,NA,NA,NA,NA,NA,NA,73.28,NA,NA,NA,NA,17.96,NA,NA,NA,NA,11.18,NA,NA,NA,NA,7.89,NA,NA,NA,NA,12.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Verwaijen & Van Damme, 2007",2007,J Evol Biol,Lacertidae,Lacerta schreiberi,Lacerta schreiberi,M,A,7,7,NA,NA,NA,NA,NA,NA,95.57,NA,NA,NA,NA,24.58,NA,NA,NA,NA,17.01,NA,NA,NA,NA,13.22,NA,NA,NA,NA,34.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Verwaijen & Van Damme, 2007",2007,J Evol Biol,Lacertidae,Lacerta vivipara,Zootoca vivipara,M,A,8,8,NA,NA,NA,NA,NA,NA,52.63,NA,NA,NA,NA,11.54,NA,NA,NA,NA,7.19,NA,NA,NA,NA,5.71,NA,NA,NA,NA,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Verwaijen & Van Damme, 2007",2007,J Evol Biol,Lacertidae,Podarcis muralis,Podarcis muralis,M,A,9,9,NA,NA,NA,NA,NA,NA,59.34,NA,NA,NA,NA,15.63,NA,NA,NA,NA,8.94,NA,NA,NA,NA,6.52,NA,NA,NA,NA,6.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Verwaijen & Van Damme, 2007",2007,J Evol Biol,Lacertidae,Podarcis peloponnesiaca,Podarcis peloponnesiacus,M,A,9,9,NA,NA,NA,NA,NA,NA,75.5,NA,NA,NA,NA,19.66,NA,NA,NA,NA,11.83,NA,NA,NA,NA,9.67,NA,NA,NA,NA,13.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Verwaijen & Van Damme, 2007",2007,J Evol Biol,Lacertidae,Psammodromus algirus,Psammodromus algirus,M,A,12,12,NA,NA,NA,NA,NA,NA,67.1,NA,NA,NA,NA,16.44,NA,NA,NA,NA,10.19,NA,NA,NA,NA,8.15,NA,NA,NA,NA,8.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Verwaijen & Van Damme, 2007",2007,J Evol Biol,Lacertidae,Psammodromus hispanicus,Psammodromus hispanicus,M,A,6,6,NA,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,10.72,NA,NA,NA,NA,6.56,NA,NA,NA,NA,5.24,NA,NA,NA,NA,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Verwaijen & Van Damme, 2007",2007,J Evol Biol,Lacertidae,Takydromus sexlineatus,Takydromus sexlineatus,M,A,9,9,NA,NA,NA,NA,NA,NA,54.45,NA,NA,NA,NA,13.73,NA,NA,NA,NA,6.24,NA,NA,NA,NA,5.43,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Herrel, 2007",2007,Book,Iguanidae,Dipsosaurus dorsalis,Dipsosaurus dorsalis,M,A,10,10,NA,NA,NA,NA,NA,NA,125.74,5.7,NA,NA,NA,22.38,0.6,NA,NA,NA,19.15,1.31,NA,NA,NA,14.17,0.87,NA,NA,NA,18.99,2.21,NA,NA,NA,NA,NA,NA,NA,NA,Bad,"Table indicates that all individuals sampled were males. No indication as to whether SD OR SE values are included with averages, have put the values into SD column for now. Did not include Xenosaurus grandis froMHerrel (2007), as data was taken froMHerrel, et al., 2001a which I have already collected data from, although max BFis slightly less (?). SC not listed in the book. BAD = no indication as to whether SD or SE are included with measurements, can only use for MAX BF analysis without SD or SE"
"Herrel, 2007",2007,Book,Phrynosomatidae,Callisaurus draconoides,Callisaurus draconoides,M,A,12,12,NA,NA,NA,NA,NA,NA,83.04,8.18,NA,NA,NA,15.66,0.93,NA,NA,NA,12.59,0.84,NA,NA,NA,8.8,0.48,NA,NA,NA,4.79,1.46,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Herrel, 2007",2007,Book,Phrynosomatidae,Sceloporus undulatus,Sceloporus undulatus,M,A,16,16,NA,NA,NA,NA,NA,NA,59.64,4.35,NA,NA,NA,12.8,1.11,NA,NA,NA,10.7,1.01,NA,NA,NA,7.17,0.73,NA,NA,NA,3.57,2.54,NA,NA,NA,NA,NA,NA,NA,NA,Bad,Now recognised as Stellagama stellio â€” BAIG et al. 2012 according to RD
"Herrel, 2007",2007,Book,Agamidae,Pogona vitticeps,Pogona vitticeps,M,A,8,8,NA,NA,NA,NA,NA,NA,217.76,28.75,NA,NA,NA,38.1,3,NA,NA,NA,48.37,6.27,NA,NA,NA,29.06,3.71,NA,NA,NA,112.39,18.32,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Herrel, 2007",2007,Book,Agamidae,Plocederma stellio,Stellagama stellio,M,A,4,4,NA,NA,NA,NA,NA,NA,95.79,7.28,NA,NA,NA,23.64,0.79,NA,NA,NA,23.42,0.84,NA,NA,NA,12.93,0.75,NA,NA,NA,22.23,5.01,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Herrel, 2007",2007,Book,Agamidae,Uromastix acanthinurus,Uromastix acanthinura,M,A,4,4,NA,NA,NA,NA,NA,NA,159.46,26.11,NA,NA,NA,31.79,4.91,NA,NA,NA,32.69,4.58,NA,NA,NA,18.81,2.56,NA,NA,NA,68.39,23.74,NA,NA,NA,NA,NA,NA,NA,NA,Bad,Now recognised as Uromastyx acanthinura â€” TAMAR et al. 2017 according to RD
"Herrel, 2007",2007,Book,Cordylidae,Cordylus mossambicus,Smaug mossambicus,M,A,5,5,NA,NA,NA,NA,NA,NA,109.03,3.17,NA,NA,NA,30.29,0.56,NA,NA,NA,24.93,0.34,NA,NA,NA,13.92,0.45,NA,NA,NA,19.31,0.88,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Herrel, 2007",2007,Book,Scincidae,Eulamprus heathwoli,Eulamprus heatwolei,M,A,3,3,NA,NA,NA,NA,NA,NA,109.17,10.7,NA,NA,NA,21.37,0.43,NA,NA,NA,13.7,0.83,NA,NA,NA,11.24,0.23,NA,NA,NA,16.66,1.7,NA,NA,NA,NA,NA,NA,NA,NA,Bad,Now recognised as Eulamprus heatwolei â€” WILSON & SWAN 2010 (RD)
"Herrel, 2007",2007,Book,Scincidae,Corucia zebrata,Corucia zebrata,M,A,2,2,NA,NA,NA,NA,NA,NA,275,7.07,NA,NA,NA,50.6,4.53,NA,NA,NA,48.88,2.37,NA,NA,NA,36.03,3.01,NA,NA,NA,206.85,69.15,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Herrel, 2007",2007,Book,Scincidae,Tiliqua rugosa,Tiliqua rugosa,M,A,13,13,NA,NA,NA,NA,NA,NA,282.44,17.07,NA,NA,NA,45.9,3.08,NA,NA,NA,51.64,3.8,NA,NA,NA,33.21,2.54,NA,NA,NA,161.64,30.11,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Herrel, 2007",2007,Book,Lacertidae,Gallotia galloti,Gallotia galloti,M,A,15,15,NA,NA,NA,NA,NA,NA,112.03,10.24,NA,NA,NA,30.22,3.19,NA,NA,NA,19.9,2.14,NA,NA,NA,16.31,2.7,NA,NA,NA,107.63,32.24,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Herrel, 2007",2007,Book,Lacertidae,Psammodromus algirus,Psammodromus algirus,M,A,9,9,NA,NA,NA,NA,NA,NA,74.84,3.33,NA,NA,NA,18.34,0.78,NA,NA,NA,11.61,0.72,NA,NA,NA,8.77,0.54,NA,NA,NA,11.52,1.65,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Herrel, 2007",2007,Book,Lacertidae,Podarcis lilfordi,Podarcis lilfordi,M,A,8,8,NA,NA,NA,NA,NA,NA,62.08,2.57,NA,NA,NA,16.44,1.34,NA,NA,NA,9.63,0.84,NA,NA,NA,7.71,0.83,NA,NA,NA,10.71,0.81,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Herrel, 2007",2007,Book,Teiidae,Cnemidophorus tigris,Aspidoscelis tigris,M,A,5,5,NA,NA,NA,NA,NA,NA,77.26,9.89,NA,NA,NA,18.97,2.07,NA,NA,NA,10.28,1.75,NA,NA,NA,8.87,1.15,NA,NA,NA,6.69,4.38,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Herrel, 2007",2007,Book,Varanidae,Varanus exanthematicus,Varanus exanthematicus,M,A,7,7,NA,NA,NA,NA,NA,NA,237.9,24.38,NA,NA,NA,48.01,4.65,NA,NA,NA,33.58,3.07,NA,NA,NA,23.99,2.94,NA,NA,NA,86.61,21,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Acanthodactylus pardalis,Acanthodactylus pardalis,M,A,5,5,Acrylic,NA,NA,NA,NA,NA,59,1.8,NA,NA,NA,14.4,0.4,NA,NA,NA,9.5,0.4,NA,NA,NA,8.1,0.4,NA,NA,NA,4.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,Good,"Didn't include data on Lacerta vivipara (M& F), Psammodromus algirus (M), Podarcis lilfordi (F) as checked that values were the same as Herrel et al 2001 and had already collected this data. Didn't include data on P.melisselensis as had a higher max BFfor same species froMVerwaijen and Van Damme (2002). Didn't include data on P.sicula as had a higher max BFfroMHerrel, et al., 2008 for same species. Didn't include data on P.muralis as had higher max BFfor same species froMHerrel et al 2001. SC froMpaper ""The place oFapplication oFbite forces was standardized by mounting acrylic stops onto the free end oFthe holder (see Herrel et al., 1999a, 2001a, b)."""
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Acanthodactylus pardalis,Acanthodactylus pardalis,F,A,1,1,Acrylic,NA,NA,NA,NA,NA,60.69,NA,NA,NA,NA,13.42,NA,NA,NA,NA,8.35,NA,NA,NA,NA,6.69,NA,NA,NA,NA,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,"Bad = no SD or SE with averages due to sample size of 1, can use in MAX BF analysis but not in analysis with SD or SE"
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Gallotia galloti,Gallotia galloti,M,A,15,15,Acrylic,NA,NA,NA,NA,NA,112,10.2,NA,NA,NA,30.2,3.2,NA,NA,NA,19.9,2.1,NA,NA,NA,16.3,2.7,NA,NA,NA,107.6,32.2,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Gallotia galloti,Gallotia galloti,F,A,24,24,Acrylic,NA,NA,NA,NA,NA,92.1,7.9,NA,NA,NA,22.9,1.7,NA,NA,NA,14.7,2,NA,NA,NA,11.6,1.2,NA,NA,NA,34.6,15.8,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Lacerta bedriagae,Archaeolacerta bedriagae,M,A,14,14,Acrylic,NA,NA,NA,NA,NA,67.9,9.3,NA,NA,NA,18.3,2.9,NA,NA,NA,10.9,1.8,NA,NA,NA,6.9,1.2,NA,NA,NA,7.2,3.8,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Lacerta bedriagae,Archaeolacerta bedriagae,F,A,7,7,Acrylic,NA,NA,NA,NA,NA,63.1,9.8,NA,NA,NA,15.6,2.1,NA,NA,NA,9.3,1.3,NA,NA,NA,6.2,1.1,NA,NA,NA,3.8,2.2,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Lacerta bilineata,Lacerta bilineata,M,A,2,2,Acrylic,NA,NA,NA,NA,NA,90.4,2.5,NA,NA,NA,24.4,1.5,NA,NA,NA,15.8,0.3,NA,NA,NA,11.8,0.3,NA,NA,NA,23.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Lacerta bilineata,Lacerta bilineata,F,A,2,2,Acrylic,NA,NA,NA,NA,NA,98.2,1.7,NA,NA,NA,23.2,0.1,NA,NA,NA,14,0.3,NA,NA,NA,11.2,1.2,NA,NA,NA,14.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Latastia longicaudata,Latastia longicaudata,M,A,3,3,Acrylic,NA,NA,NA,NA,NA,90.4,5.4,NA,NA,NA,20.5,1.2,NA,NA,NA,11.2,0.5,NA,NA,NA,9.5,0.5,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Latastia longicaudata,Latastia longicaudata,F,A,4,4,Acrylic,NA,NA,NA,NA,NA,76.6,6.5,NA,NA,NA,17.8,1.6,NA,NA,NA,9.5,0.5,NA,NA,NA,7.9,0.4,NA,NA,NA,4.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Lacerta oxycephala,Dalmatolacerta oxycephala,M,A,11,11,Acrylic,NA,NA,NA,NA,NA,59.3,3.7,NA,NA,NA,15.1,0.9,NA,NA,NA,8.7,0.5,NA,NA,NA,5.9,0.4,NA,NA,NA,3.9,0.8,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Lacerta oxycephala,Dalmatolacerta oxycephala,F,A,10,10,Acrylic,NA,NA,NA,NA,NA,49.7,7.4,NA,NA,NA,12.6,1.2,NA,NA,NA,7,0.8,NA,NA,NA,4.8,0.5,NA,NA,NA,1.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Psammodromus algirus,Psammodromus algirus,F,A,6,6,Acrylic,NA,NA,NA,NA,NA,63.2,9.2,NA,NA,NA,14.8,2.2,NA,NA,NA,9,1.8,NA,NA,NA,6.8,1.3,NA,NA,NA,5.2,3,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Podarcis atrata,Podarcis liolepis,M,A,6,6,Acrylic,NA,NA,NA,NA,NA,63.7,1.4,NA,NA,NA,16,0.4,NA,NA,NA,9.1,0.3,NA,NA,NA,7.2,0.5,NA,NA,NA,7.8,1.4,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Podarcis atrata,Podarcis liolepis,F,A,9,9,Acrylic,NA,NA,NA,NA,NA,58.4,1.8,NA,NA,NA,12.8,0.6,NA,NA,NA,7,0.3,NA,NA,NA,5.4,0.2,NA,NA,NA,2.6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Podarcis hispanica,Podarcis hispanicus,M,A,10,10,Acrylic,NA,NA,NA,NA,NA,55.4,4.1,NA,NA,NA,14.3,1,NA,NA,NA,8.4,0.6,NA,NA,NA,5.9,0.6,NA,NA,NA,4.3,1.1,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Podarcis hispanica,Podarcis hispanicus,F,A,17,17,Acrylic,NA,NA,NA,NA,NA,53.8,3,NA,NA,NA,12.1,0.6,NA,NA,NA,7,0.5,NA,NA,NA,4.9,0.4,NA,NA,NA,2.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Podarcis lilfordi,Podarcis lilfordi,F,A,14,14,Acrylic,NA,NA,NA,NA,NA,60.7,3,NA,NA,NA,14.9,1.1,NA,NA,NA,8.5,0.8,NA,NA,NA,6.5,0.6,NA,NA,NA,6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Podarcis tiliguerta,Podarcis tiliguerta,M,A,18,18,Acrylic,NA,NA,NA,NA,NA,55.1,4.9,NA,NA,NA,14.6,1.3,NA,NA,NA,7.9,1,NA,NA,NA,6,0.9,NA,NA,NA,3.6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Herrel, et al., 2004",2004,J Evol Biol,Lacertidae,Podarcis tiliguerta,Podarcis tiliguerta,F,A,11,11,Acrylic,NA,NA,NA,NA,NA,50.1,4.1,NA,NA,NA,11.4,0.7,NA,NA,NA,6.1,0.4,NA,NA,NA,4.6,0.6,NA,NA,NA,1.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Meyers, et al., 2018",2018,J Anat,Phrynosomatidae,Phrynosoma cornutum,Phrynosoma cornutum,NA,A,3,27,Metal,NA,NA,NA,NA,NA,91.76,1.18,NA,NA,NA,19.49,0.69,NA,NA,NA,20.28,1.02,NA,NA,NA,17.05,1.18,NA,NA,NA,8.03,1.11,NA,NA,NA,NA,NA,NA,NA,NA,Remove,"Won't include Callisaurus draconoides as have a higher max BFfroMHerrel 2007 book. No data available for sex. Morph data was collected froMmusueMspecimens. BFdata was collected in vivo in the field. So morph and BFdata are froMdifferent individuals. SC ""place oFapplication oFbite forces was standardized for all animals by metal stops that were mounted on the bite plates, thus assuring that animals always bit at the same position along the jaw."" Remove data"" as morph is from museum and BF is from in the field."
"Meyers, et al., 2018",2018,J Anat,Phrynosomatidae,Phrynosoma hernandesi,Phrynosoma hernandesi,NA,A,3,9,Metal,NA,NA,NA,NA,NA,69.69,16.9,NA,NA,NA,15.41,1.75,NA,NA,NA,16.83,5.55,NA,NA,NA,13.17,1.07,NA,NA,NA,8.68,3.79,NA,NA,NA,NA,NA,NA,NA,NA,Remove,NA
"Meyers, et al., 2018",2018,J Anat,Phrynosomatidae,Phrynosoma mcalli,Phrynosoma mcallii,NA,A,3,22,Metal,NA,NA,NA,NA,NA,75.7,0.51,NA,NA,NA,16.3,0.65,NA,NA,NA,16.48,0.42,NA,NA,NA,11.38,0.49,NA,NA,NA,3.15,0.62,NA,NA,NA,NA,NA,NA,NA,NA,Remove,NA
"Meyers, et al., 2018",2018,J Anat,Phrynosomatidae,Phrynosoma modestum,Phrynosoma modestum,NA,A,3,50,Metal,NA,NA,NA,NA,NA,56.29,2.26,NA,NA,NA,12.57,0.38,NA,NA,NA,15.92,0.74,NA,NA,NA,10.05,0.22,NA,NA,NA,2.53,1.15,NA,NA,NA,NA,NA,NA,NA,NA,Remove,NA
"Meyers, et al., 2018",2018,J Anat,Phrynosomatidae,Phrynosoma platyrhinos,Phrynosoma platyrhinos,NA,A,4,65,Metal,NA,NA,NA,NA,NA,73.19,0.52,NA,NA,NA,16.9,0.77,NA,NA,NA,19.24,0.09,NA,NA,NA,13.5,0.01,NA,NA,NA,2.94,0.94,NA,NA,NA,NA,NA,NA,NA,NA,Remove,NA
"Meyers, et al., 2018",2018,J Anat,Phrynosomatidae,Phrynosoma solare,Phrynosoma solare,NA,A,3,13,Metal,NA,NA,NA,NA,NA,96.56,3.86,NA,NA,NA,24.86,1,NA,NA,NA,23.2,1.65,NA,NA,NA,15.84,1.16,NA,NA,NA,3.68,1.81,NA,NA,NA,NA,NA,NA,NA,NA,Remove,NA
"Meyers, et al., 2018",2018,J Anat,Phrynosomatidae,Sceloporus magister,Sceloporus magister,NA,A,1,55,Metal,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,21.75,NA,NA,NA,NA,20.51,NA,NA,NA,NA,14.6,NA,NA,NA,NA,18.07,11.69,NA,NA,NA,NA,NA,NA,NA,NA,Remove,NA
"Meyers, et al., 2018",2018,J Anat,Phrynosomatidae,Uma notata,Uma notata,NA,A,3,5,Metal,NA,NA,NA,NA,NA,95.34,9.97,NA,NA,NA,16.93,1.47,NA,NA,NA,15.67,0.15,NA,NA,NA,11.61,0.93,NA,NA,NA,7.16,3.73,NA,NA,NA,NA,NA,NA,NA,NA,Remove,NA
"Dufour, et al., 2018",2018,Biol J Linn Soc,Dactyloidae,Anolis cristatellus,Anolis cristatellus,M,A,35,35,NA,7.2,1.43,NA,4.88,10,60.56,3.71,NA,53.9,67.6,15.68,0.98,NA,13.87,17.76,11.45,0.74,NA,10.04,12.95,9.11,0.71,NA,7.09,10.27,21.1,4.71,NA,13.266,33.366,18.52,1.21,NA,16.09,20.68,Good,"Raw morph and BF data werea available from the supp material, I calculated avg, SD, min and max myself for all individuals by splitting the original excel data by sex and species. Many more individuals were measured (adults = 215) but BF data was only available for a subset (A oculatus males = 61, females =15, A.cristatellus males = 35, females = 18). "
"Dufour, et al., 2018",2018,Biol J Linn Soc,Dactyloidae,Anolis cristatellus,Anolis cristatellus,F,A,18,18,NA,2.1,0.26,NA,1.61,2.53,42.23,1.85,NA,39.32,45.22,10.97,0.58,NA,9.97,12.04,7.47,0.48,NA,6.02,8.07,6.33,0.45,NA,5.65,7.34,4.61,1.22,NA,2.613,7.906,12.75,0.5,NA,11.85,13.5,Good,NA
"Dufour, et al., 2018",2018,Biol J Linn Soc,Dactyloidae,Anolis oculatus,Anolis oculatus,M,A,61,61,NA,8.17,2.31,NA,4.34,15.12,68.62,5.8,NA,56.35,86.8,17.77,1.72,NA,13.76,21.66,12.04,1.16,NA,9.66,15.42,9.36,1.01,NA,7.04,12.33,24.11,6.54,NA,10.72,40.602,20.86,2.31,NA,13.92,25.24,Good,NA
"Dufour, et al., 2018",2018,Biol J Linn Soc,Dactyloidae,Anolis oculatus,Anolis oculatus,F,A,15,15,NA,4.19,0.95,NA,2.98,6.82,54.99,3.17,NA,50.71,61.82,14.26,0.73,NA,13.14,15.43,9.12,0.61,NA,8.19,10.62,7.08,0.61,NA,6.19,8.59,12.07,4.22,NA,6.968,24.187,16.51,1.28,NA,15.05,19.79,Good,NA
"Montuelle and Williams, 2015",2015,PLoS ONE,Gekkonidae,Gekko gecko ,Gekko gecko ,M,A,5,5,NA,33.7,1.7,NA,NA,NA,123.9,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.38,4.92,NA,1.44,29.1,NA,NA,NA,NA,NA,Bad,"There was only average morph data available for SVL, BMand skull length (not used) for the 5 individual males. No indication oFSD or SE included with morph measurements, have put values in SD column. Raw BFdata is available froMthe supplementary information (S2), upon inspecting the data I worked out that the max BFwas 29.01 froMindividual 3 and the average across all 5 individuals was 10.8, the paper states that MaximuMbite force is 11.38 Â± 0.32 N (Table 3), not sure where they got this number from, I even calculated the average oFthe max BFfor each individual (see excel sheet) which was 21.01. I have input the values that I calculated myselFas the average across all 5 individuals and the max BFfroMindividual 3. UPDATE: email froMauthor has shown that 11.38 is correct, I've updated the BFand SD values. BAD = no indication as to whether SD or SE are included with measurements, can only use for MAX BF analysis without SD or SE"
"Simon, et al., 2019",2019,Biol J Linn Soc,Tropiduridae,Eurolophosaurus nanuzae,Eurolophosaurus nanuzae,NA,A,29,29,NA,NA,NA,NA,NA,NA,53.74,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.91,5.67,NA,NA,NA,NA,NA,NA,NA,NA,Good,No data available for sex or SC. Only SVL and BF data available. Sample size inferred from the methods.
"Simon, et al., 2019",2019,Biol J Linn Soc,Tropiduridae,Tropidurus hispidus,Tropidurus hispidus,NA,A,31,31,NA,NA,NA,NA,NA,NA,94.6,12.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.02,30.32,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Simon, et al., 2019",2019,Biol J Linn Soc,Tropiduridae,Tropidurus semitaeniatus,Tropidurus semitaeniatus,NA,A,30,30,NA,NA,NA,NA,NA,NA,69.48,6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.56,6.81,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Baeckens, et al., 2018",2018,Integr Comp Biol,Dactyloidae,Anolis sagrei,Anolis sagrei,M,A,27,27,Metal,NA,NA,NA,NA,NA,58.13,5.85,NA,NA,NA,16.27,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.99,2.24,NA,NA,NA,NA,NA,NA,NA,NA,Good,Added data froMthis paper as it had a higher MAX BFfor the species. This study only looked at males. Only SVL and HW morph data were collected.
"Guilloux, et al., 2020",2020,Biol J Linn Soc,Scincidae,Acontias kgalagadi,Acontias kgalagadi,NA,A,5,5,NA,1.95,0.64,NA,NA,NA,116.12,12.1,NA,NA,NA,7.27,0.49,NA,NA,NA,3.6,0.2,NA,NA,NA,3.23,0.86,NA,NA,NA,1.16,0.4,NA,NA,NA,5.7,0.34,NA,NA,NA,Good,"P.braconnieri (1 sample for BF) and S.montispectus has 1 sample for BFand morph data. In this paper they measured head depth, have used it as a proxy for head height. Methods state that specimens were oFunknown sex. Also gape angle was (Â± 30 Â°) and the place oFapplication oFthe bite force was standardized with animals always biting at the tips oFthe jaws."
"Guilloux, et al., 2020",2020,Biol J Linn Soc,Scincidae,Acontias litoralis,Acontias litoralis,NA,A,47,42,NA,1.39,0.45,NA,NA,NA,108.34,16.64,NA,NA,NA,5.95,0.91,NA,NA,NA,3.01,0.29,NA,NA,NA,2.54,0.26,NA,NA,NA,0.73,0.19,NA,NA,NA,5.09,0.76,NA,NA,NA,Good,NA
"Guilloux, et al., 2020",2020,Biol J Linn Soc,Scincidae,Acontias meleagris,Acontias meleagris,NA,A,6,6,NA,9.74,2.85,NA,NA,NA,194.24,16.34,NA,NA,NA,10.43,1.08,NA,NA,NA,5.81,0.9,NA,NA,NA,4.56,0.55,NA,NA,NA,8.99,1.77,NA,NA,NA,7.67,1.16,NA,NA,NA,Good,NA
